minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,mrtDisp,roomPax,amtBedroom,commentsSentiment,room_type_Private room
2.0,120.0,1.7,1.0,2.0,0.0015422016729175446,0.0,0.0,0.7715016666666668,0.0
5.0,2.0,0.05,2.0,0.0,0.005514406223708801,0.0,0.0,0.85695,1.0
92.0,0.0,0.0,1.0,358.0,0.003471479943765914,0.0,0.0,0.0,1.0
90.0,5.0,0.07,3.0,365.0,0.008627726989194303,0.0,0.0,0.8959199999999999,0.0
3.0,0.0,0.0,2.0,365.0,0.007614236271623495,0.0,0.0,0.0,0.0
89.0,3.0,0.05,3.0,365.0,0.006243670875373892,0.0,0.0,0.6253333333333333,0.0
5.0,8.0,0.12,1.0,0.0,0.0042331531982561215,0.0,0.0,0.9293625,1.0
30.0,2.0,0.03,3.0,173.0,0.008028550678676628,0.0,0.0,0.1523,0.0
10.0,0.0,0.0,2.0,294.0,0.002306145051813101,0.0,0.0,0.0,1.0
3.0,49.0,0.77,2.0,345.0,0.004283136234116809,0.0,0.0,0.5395618181818181,0.0
1.0,1.0,1.0,2.0,42.0,0.0045064568121774,0.0,0.0,0.5574,0.0
5.0,11.0,0.18,3.0,180.0,0.009357178313998972,0.0,0.0,0.7484999999999999,0.0
1.0,100.0,1.46,48.0,327.0,0.0024150875760496552,0.0,0.0,0.6993064814814813,1.0
2.0,107.0,1.55,48.0,323.0,0.005094923748200961,0.0,0.0,0.6308938053097342,1.0
4.0,29.0,0.42,2.0,23.0,0.0014882019352237307,0.0,0.0,0.7693413793103449,0.0
1.0,7.0,0.14,4.0,364.0,0.008480987737285686,0.0,0.0,0.7575857142857144,0.0
1.0,13.0,0.23,1.0,364.0,0.0031857338244173565,0.0,0.0,0.8540153846153846,0.0
3.0,163.0,2.39,1.0,29.0,0.0009077670405961293,0.0,0.0,0.8197843930635841,1.0
1.0,8.0,0.18,11.0,358.0,0.0047169359758231465,0.0,4.0,0.5227272727272727,0.0
2.0,7.0,0.18,1.0,0.0,0.003142123644925257,0.0,0.0,0.9014428571428572,1.0
2.0,323.0,4.72,1.0,239.0,0.0015034802958443444,0.0,0.0,0.808243783783784,1.0
3.0,21.0,0.36,3.0,180.0,0.0096569636014625,0.0,0.0,0.7146714285714284,0.0
1.0,98.0,1.44,48.0,346.0,0.005776641584864672,0.0,0.0,0.6808636363636361,0.0
3.0,60.0,0.89,2.0,0.0,0.0013038193893280185,0.0,0.0,0.7751116666666663,0.0
4.0,7.0,0.12,2.0,334.0,0.00706802553759036,0.0,0.0,0.8480166666666666,0.0
1.0,0.0,0.0,1.0,365.0,0.005782983745430897,0.0,0.0,0.0,0.0
28.0,2.0,0.04,112.0,333.0,0.0007719533664678372,0.0,0.0,0.42955,0.0
5.0,3.0,0.06,10.0,365.0,0.004839258724227929,0.0,0.0,0.8454,0.0
183.0,5.0,0.07,1.0,365.0,0.008448719488771518,0.0,0.0,0.78862,0.0
365.0,0.0,0.0,1.0,365.0,0.008758054635576574,0.0,0.0,0.0,1.0
1.0,307.0,5.44,3.0,315.0,8.984430978245976e-05,0.0,0.0,0.7451656716417908,0.0
1.0,23.0,0.35,20.0,357.0,0.0038774063496115983,0.0,0.0,0.7509692307692306,0.0
1.0,142.0,2.13,48.0,309.0,0.0058892637910010785,0.0,2.0,0.6333666666666663,1.0
7.0,52.0,0.77,1.0,0.0,0.003823267973866301,0.0,0.0,0.7915846153846154,0.0
1.0,2.0,0.04,20.0,356.0,0.003980404502061696,0.0,0.0,0.62315,0.0
1.0,48.0,0.77,20.0,358.0,0.00364869565733944,0.0,0.0,0.6337642857142859,0.0
2.0,29.0,0.99,20.0,358.0,0.003774578122122628,0.0,0.0,0.7240000000000002,0.0
1.0,50.0,1.05,20.0,360.0,0.0036149495155485367,0.0,0.0,0.6525125,0.0
2.0,6.0,0.13,20.0,363.0,0.0033195782864603733,0.0,0.0,0.5461142857142857,0.0
1.0,11.0,0.2,20.0,351.0,0.0036755943737083107,0.0,0.0,0.6626062499999998,0.0
180.0,0.0,0.0,1.0,364.0,0.011571374680651626,0.0,0.0,0.0,0.0
2.0,3.0,0.1,1.0,118.0,0.003197281657912784,0.0,0.0,0.2974333333333333,1.0
1.0,0.0,0.0,1.0,365.0,0.019628580106571158,0.0,0.0,0.0,0.0
3.0,31.0,0.47,2.0,338.0,0.003131683572767104,0.0,0.0,0.5406065217391305,1.0
15.0,10.0,0.26,3.0,115.0,0.016460359200212132,0.0,0.0,0.8590700000000001,0.0
7.0,11.0,0.31,3.0,138.0,0.011990021893224736,0.0,0.0,0.8051909090909092,0.0
3.0,57.0,0.88,2.0,350.0,0.002659807511836905,0.0,0.0,0.4987571428571429,0.0
1.0,121.0,1.96,3.0,333.0,0.0016077474926127502,0.0,0.0,0.7465299270072993,0.0
1.0,19.0,0.29,3.0,0.0,0.0015870639558633554,0.0,0.0,0.6558999999999999,0.0
90.0,26.0,0.44,1.0,358.0,0.005941544664470294,0.0,0.0,0.8651961538461538,0.0
90.0,24.0,0.37,2.0,289.0,0.003621200353468189,0.0,0.0,0.6825374999999999,1.0
90.0,0.0,0.0,1.0,349.0,0.0060722760971460045,0.0,0.0,0.0,0.0
2.0,1.0,0.12,2.0,365.0,0.00899459626663975,0.0,0.0,0.60695,0.0
28.0,1.0,0.07,83.0,331.0,0.0030818500936877326,0.0,0.0,0.4055,0.0
13.0,0.0,0.0,1.0,365.0,0.00715093126802622,0.0,0.0,0.0,0.0
2.0,70.0,1.08,48.0,321.0,0.0028806124348812892,0.0,0.0,0.6939414285714283,1.0
30.0,0.0,0.0,1.0,365.0,0.0022314143496949728,0.0,0.0,0.0,0.0
6.0,43.0,0.65,1.0,215.0,0.003966417275073614,0.0,0.0,0.917081395348837,0.0
365.0,4.0,0.07,24.0,0.0,0.001573250456853786,0.0,0.0,0.978575,0.0
365.0,3.0,0.05,24.0,0.0,0.0015275395248578382,0.0,0.0,0.4983333333333334,0.0
90.0,6.0,0.11,24.0,0.0,0.0027043256090978057,0.0,0.0,0.68085,0.0
1.0,0.0,0.0,1.0,365.0,0.0056004729264598225,0.0,0.0,0.0,0.0
3.0,21.0,0.35,13.0,73.0,0.0020853973242473817,0.0,0.0,0.7181000000000002,0.0
90.0,61.0,0.83,1.0,363.0,0.0020852342794039067,0.0,0.0,0.8762000000000001,1.0
4.0,24.0,0.4,203.0,33.0,0.004194303875485012,0.0,0.0,0.4496291666666668,1.0
14.0,7.0,0.11,1.0,17.0,0.00451053455811797,0.0,0.0,0.9449571428571428,1.0
27.0,7.0,0.14,3.0,338.0,0.0051238955883193965,0.0,0.0,0.7343428571428571,0.0
180.0,7.0,0.12,1.0,358.0,0.012427038786452524,0.0,0.0,0.7996142857142857,1.0
30.0,81.0,1.31,9.0,365.0,0.004305148197220051,0.0,0.0,0.7472839506172839,1.0
1.0,52.0,0.82,67.0,45.0,0.0032418574922478518,0.0,1.0,0.6679950819672132,1.0
5.0,44.0,0.68,67.0,73.0,0.003076686529369041,0.0,1.0,0.7301039999999999,1.0
365.0,0.0,0.0,1.0,365.0,0.002396384359817784,0.0,0.0,0.0,0.0
1.0,97.0,1.53,48.0,315.0,0.004258712011862184,0.0,2.0,0.6927858585858585,1.0
1.0,217.0,3.41,48.0,335.0,0.004042492795292746,0.0,0.0,0.5890714859437753,1.0
180.0,0.0,0.0,2.0,365.0,0.003188029171757661,0.0,0.0,0.0,0.0
1.0,8.0,0.18,32.0,350.0,0.0038686589407617546,0.0,0.0,0.5824083333333333,0.0
90.0,3.0,0.04,73.0,178.0,0.004849419965314957,0.0,2.0,0.8434666666666667,1.0
90.0,0.0,0.0,2.0,364.0,0.003099071151159693,0.0,0.0,0.0,0.0
2.0,17.0,0.28,26.0,338.0,0.004768911930392015,0.0,0.0,0.6590777777777778,1.0
1.0,140.0,2.34,16.0,71.0,0.0010395633698815066,0.0,0.0,0.5473535714285709,0.0
2.0,112.0,1.78,12.0,55.0,0.0024957187341508964,0.0,0.0,0.4033874999999997,0.0
1.0,52.0,0.87,16.0,73.0,0.0015302914755008284,0.0,0.0,0.4239384615384616,0.0
1.0,111.0,1.87,16.0,83.0,0.0022383368825891732,0.0,0.0,0.5012864864864862,0.0
1.0,19.0,0.31,3.0,0.0,0.0036314561817629436,0.0,16.0,0.8097526315789473,0.0
30.0,1.0,0.02,1.0,363.0,0.01222088180123709,0.0,0.0,0.9855,0.0
2.0,2.0,0.03,1.0,32.0,0.0035138703732491053,0.0,0.0,0.96135,1.0
1.0,9.0,0.15,1.0,364.0,0.0018019261916097874,0.0,1.0,0.7377777777777779,0.0
365.0,2.0,0.04,24.0,0.0,0.0014907638981391687,0.0,0.0,0.98125,0.0
7.0,6.0,0.09,1.0,83.0,0.0063504434490820215,0.0,0.0,0.7232833333333334,0.0
90.0,6.0,0.1,2.0,215.0,0.0009743931444804832,0.0,0.0,0.9826571428571428,0.0
60.0,6.0,0.11,1.0,365.0,0.0017796384464260516,0.0,0.0,0.4438333333333333,1.0
7.0,4.0,0.06,1.0,0.0,0.006084179648877071,0.0,2.0,0.90185,1.0
20.0,69.0,1.12,3.0,0.0,0.005347870697756118,0.0,0.0,0.7510434782608691,1.0
3.0,0.0,0.0,1.0,0.0,0.004979502485190956,0.0,0.0,0.0,1.0
2.0,93.0,1.5,48.0,305.0,0.00266076455177901,0.0,0.0,0.7045514851485148,1.0
1.0,63.0,0.99,67.0,77.0,0.0030633445774190483,0.0,1.0,0.6730871428571428,1.0
2.0,3.0,0.05,1.0,0.0,0.0028765543624348342,0.0,0.0,0.9107666666666668,1.0
1.0,31.0,0.67,11.0,365.0,0.004124327824014906,0.0,6.0,0.62308125,0.0
1.0,5.0,0.08,11.0,365.0,0.003062188759690409,0.0,6.0,0.7340800000000001,0.0
1.0,2.0,0.08,11.0,342.0,0.003009584688953508,0.0,0.0,0.92205,0.0
5.0,62.0,1.13,67.0,84.0,0.005368977556295161,0.0,1.0,0.7091555555555557,1.0
90.0,0.0,0.0,1.0,181.0,0.0068450318479873,0.0,0.0,0.0,0.0
6.0,130.0,1.77,58.0,356.0,0.0028934526089084947,0.0,0.0,0.6190646153846152,0.0
1.0,18.0,0.28,3.0,0.0,0.0043559757804756795,0.0,12.0,0.81105,0.0
1.0,0.0,0.0,3.0,0.0,0.003559448552804842,0.0,0.0,0.0,0.0
2.0,52.0,1.03,12.0,355.0,0.0021171093500273234,0.0,0.0,0.6946297297297299,1.0
1.0,13.0,1.34,1.0,362.0,0.005141138881610364,0.0,0.0,0.8990769230769231,0.0
3.0,76.0,1.04,2.0,365.0,0.006215329516606381,0.0,0.0,0.7858539473684212,0.0
90.0,1.0,0.03,1.0,282.0,0.0009457652985773905,0.0,0.0,0.0,1.0
10.0,17.0,0.27,1.0,365.0,0.0014494002207874252,0.0,0.0,0.8449176470588237,0.0
10.0,2.0,0.11,1.0,363.0,0.003356456762717309,0.0,0.0,0.77105,0.0
60.0,41.0,0.66,67.0,26.0,0.003213552551299629,0.0,1.0,0.7793374999999997,1.0
5.0,2.0,0.03,1.0,0.0,0.005110385699719364,0.0,0.0,0.48595,1.0
90.0,10.0,0.16,1.0,362.0,0.007459468412695523,0.0,0.0,0.7691,0.0
